date,timestamp,countid,telpost,speciesname,speciesid,count,countback,local,location,age,sex,plumage,counttype,migtype,remark,Low,Age_det
2009-08-23,17:40:00,,1,HB,,56,,,E3,,,,,,,0,
2009-08-23,17:41:00,,1,HB,,4,,,E3,,,,,,,0,
2009-08-23,17:42:00,,1,HB,,67,,,E3,,,,,,,0,
2009-08-23,17:43:00,,1,HB,,17,,,E3,,,,,,,0,
2009-08-24,07:43:00,,1,HB,,1,,,E3,,,,,,,0,
2009-08-24,08:01:00,,1,HB,,1,,,E3,,,,,,,0,
2009-08-24,08:01:00,,2,HB,,1,,,O,Ad,F,,,,,0,Ad
2009-08-24,08:01:00,,2,HB,,1,,,W2,Ad,F,,,,,0,Ad
2009-08-24,08:01:00,,2,HB,,11,,,W2,,,,,,,0,
2009-08-24,08:09:00,,1,Mar,,1,,,E3,,FC,,,,,0,
2009-08-24,08:10:00,,2,HB,,6,,,E1,,,,,,,0,
2009-08-24,08:13:00,,1,HB,,11,,,E3,,,,,,,0,
2009-08-24,08:15:00,,2,HB,,1,,,,Ad,F,,,,,0,Ad
2009-08-24,08:15:00,,2,HB,,1,,,,,,,,,,0,
2009-08-24,08:22:00,,1,SBHB,,7,,,E3,,,,,,,0,
2009-08-24,08:30:00,,2,HB,,2,,,,,,,,,,0,
2009-08-24,08:39:00,,1,HB,,8,,,E3,,,,,,,0,
2009-08-24,08:49:00,,1,HB,,146,,,E3,,,,,,,0,
2009-08-24,08:49:00,,1,Hob,,1,,,E3,,,,,,,0,
2009-08-24,08:50:00,,2,HB,,134,,,O,,,,,,,0,
2009-08-24,08:56:00,,2,HB,,12,,,E3,,,,,,,0,
2009-08-24,08:56:00,,2,HB,,100,,,E3,,,,,,,0,
2009-08-24,08:56:00,,2,HB,,155,,,W1,Ad,,,,,,0,Ad
2009-08-24,08:59:00,,1,HB,,183,,,E3,,,,,,,0,
2009-08-24,09:05:00,,1,BK,,3,,,E2,,,,,,,0,
2009-08-24,09:05:00,,1,HB,,44,,,E2,,,,,,,0,
2009-08-24,09:05:00,,2,HB,,1,,,O,Ad,F,,,,,0,Ad
2009-08-24,09:05:00,,2,HB,,17,,,O,,,,,,,0,
2009-08-24,09:11:00,,2,HB,,22,,,W2,,,,,,,0,
2009-08-24,09:13:00,,1,HB,,31,,,E3,,,,,,,0,
2009-08-24,09:18:00,,2,HB,,1,,,E1,Ad,M,,,,,0,Ad
2009-08-24,09:18:00,,2,HB,,40,,,E3,,,,,,,0,
2009-08-24,09:24:00,,2,HB,,2,,,E1,Ad,F,,,,,0,Ad
2009-08-24,09:28:00,,2,HB,,145,,,E3,,,,,,,0,
2009-08-24,09:29:00,,2,HB,,1,,,O,Ad,M,,,,,0,Ad
2009-08-24,09:29:00,,1,SPH,,2,,,E3,,,,,,,0,
2009-08-24,09:30:00,,2,HB,,1,,,O,,,,,,,0,
