Year,Date,Time,Station,Species,Number,RDC,numberdoublecount,Location,Low,Age,Sex,Age_det,Morph,Remark
2009,2009-09-07,13:41:00,2,BK,1,1,1,E2,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,13:41:00,2,ESPH,1,1,1,O,0,NoValue,M,NoValue,NoValue,NoValue
2009,2009-09-07,13:41:00,2,ESPH,1,1,1,O,0,NoValue,M,NoValue,NoValue,NoValue
2009,2009-09-07,13:41:00,1,LSPH,12,1,12,E3,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,13:42:00,2,HB,2,1,22,E2,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,13:42:00,2,HB,2,1,2,E2,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,13:45:00,2,HB,2,1,2,O,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,13:45:00,2,HB,2,1,2,O,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,13:45:00,2,LSPH,1,1,1,O,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,13:45:00,2,LSPH,1,1,1,O,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,13:46:00,1,HB,2,1,2,W2,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,13:46:00,2,SPH,1,1,1,O,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,13:46:00,2,SPH,1,1,1,O,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,13:47:00,1,BE,1,1,1,W2,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,13:47:00,1,BS,2,1,2,W2,1,Juv,NoValue,Juv,NoValue,NoValue
2009,2009-09-07,13:47:00,2,Mar,1,1,1,W2,0,NoValue,M,NoValue,NoValue,NoValue
2009,2009-09-07,13:47:00,2,Mar,1,1,1,W2,0,NoValue,M,NoValue,NoValue,NoValue
2009,2009-09-07,13:48:00,1,LSPH,1,1,1,E3,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,13:49:00,1,BE,1,1,1,W2,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,13:49:00,2,Mar,1,1,1,W2,0,NoValue,M,NoValue,NoValue,NoValue
2009,2009-09-07,13:50:00,1,HB,2,1,2,W1,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,13:51:00,1,BE,1,1,1,W2,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,13:51:00,1,Mar,1,1,1,W2,0,NoValue,M,NoValue,NoValue,NoValue
2009,2009-09-07,13:52:00,1,BE,1,1,1,NoValue,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,13:54:00,1,BE,1,1,1,W2,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,13:54:00,1,BE,1,1,1,W2,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,13:54:00,1,BK,1,1,1,W2,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,13:54:00,1,SB,2,1,2,E3,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,13:56:00,2,HB,41,1,41,E2,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,13:56:00,2,HB,41,1,41,E2,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,13:58:00,1,Mar,1,1,1,E3,0,Ad,F,Ad,NoValue,NoValue
2009,2009-09-07,13:58:00,1,MonPal,2,1,2,E3,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,13:58:00,1,SPH,1,1,1,E2,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,13:59:00,1,Mar,2,1,2,W2,0,NoValue,FC,NoValue,NoValue,NoValue
2009,2009-09-07,14:00:00,1,BE,1,1,1,O,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,14:00:00,1,Falcon-SPEC,1,1,1,E3,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,14:02:00,1,Pal,1,1,1,E3,0,NoValue,M,NoValue,NoValue,NoValue
2009,2009-09-07,14:03:00,2,HB,2,1,2,O,0,Juv,NoValue,Juv,NoValue,NoValue
2009,2009-09-07,14:03:00,2,HB,2,1,2,O,0,Juv,NoValue,Juv,NoValue,NoValue
2009,2009-09-07,14:04:00,1,BE,1,1,1,W2,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,14:04:00,1,HB,1,1,1,W1,1,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,14:04:00,1,LSPH,6,1,6,E3,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,14:07:00,2,LSPH,21,0,0,W2,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,14:07:00,1,BK,1,1,1,W2,0,Juv,NoValue,Juv,NoValue,NoValue
2009,2009-09-07,14:07:00,1,LSPH,1,1,1,E3,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,14:07:00,1,LSPH,26,1,26,E3,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,14:07:00,2,LSPH,21,1,21,W2,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,14:08:00,1,BE,1,1,1,W1,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,14:09:00,2,MonPal,1,1,1,NoValue,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,14:09:00,2,MonPal,2,1,2,NoValue,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,14:09:00,2,MonPal,1,1,1,W3,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,14:09:00,2,MonPal,2,1,2,W3,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,14:12:00,2,ESPH,1,0,0,NoValue,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,14:12:00,2,ESPH,1,1,1,NoValue,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,14:13:00,1,BK,810,1,810,E3,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,14:13:00,1,HB,4290,1,4290,E3,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,14:13:00,1,LSPH,35,1,35,E3,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,14:14:00,1,BE,1,1,1,W1,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,14:15:00,2,SB,1,1,1,W1,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,14:15:00,2,SB,1,1,1,W1,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,14:16:00,2,ESPH,1,1,1,W1,1,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,14:16:00,2,ESPH,1,1,1,W1,1,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,14:17:00,1,Mar,1,1,1,E3,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,14:17:00,1,MonPal,1,1,1,E3,0,NoValue,FC,NoValue,NoValue,NoValue
2009,2009-09-07,14:19:00,2,ESPH,1,1,1,W1,1,NoValue,F,NoValue,NoValue,NoValue
2009,2009-09-07,14:19:00,2,ESPH,1,1,1,W1,1,NoValue,F,NoValue,NoValue,NoValue
2009,2009-09-07,14:27:00,2,SB,1,1,1,W1,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,14:27:00,2,SB,1,1,1,W1,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,14:31:00,1,HB,1,1,1,O,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,14:32:00,1,BE,1,1,1,E2,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,14:33:00,1,Mon,1,1,1,E3,0,Ad,M,Ad,NoValue,NoValue
2009,2009-09-07,14:40:00,2,BK,126,1,126,O,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,14:40:00,2,BK,126,1,126,O,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,14:40:00,1,Mon,1,1,1,W1,1,Ad,F,Ad,NoValue,NoValue
2009,2009-09-07,14:41:00,2,HB,1248,1,1248,O,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,14:41:00,2,HB,1248,1,1248,O,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,14:42:00,2,ESPH,11,1,11,O,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,14:42:00,2,ESPH,11,1,11,O,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,14:42:00,2,LSPH,16,1,16,O,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,14:42:00,2,LSPH,16,1,16,O,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,14:43:00,2,Mon,3,1,3,O,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,14:43:00,2,Mon,3,1,3,O,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,14:43:00,2,Pal,4,1,4,O,0,NoValue,M,NoValue,NoValue,NoValue
