"","id","date","time","species","number_new","number_ori","numberN","station","location","age","sex","morph","ctype","mtype","remark","dckept","dcdel","dcremark"
"237",237,2009-08-24,"08:13:00","HB",0,11,0,1,"E3","","","","","","",0,-11,"ID238:1 ID239:1 ID236:6 ID233:1 ID234:2 "
"238",238,2009-08-24,"08:15:00","HB",1,1,0,2,"","ad","f","","","","",1,0,"ID237:-1 "
"239",239,2009-08-24,"08:15:00","HB",1,1,0,2,"","","","","","","",1,0,"ID237:-1 "
"240",240,2009-08-24,"08:22:00","Buzzard-SPEC",7,7,0,1,"E3","","","","","","",0,0,""
"241",241,2009-08-24,"08:30:00","HB",2,2,0,2,"","","","","","","",2,0,"ID242:-2 "
"242",242,2009-08-24,"08:39:00","HB",0,8,0,1,"E3","","","","","","",0,-8,"ID241:2 ID245:6 "
"243",243,2009-08-24,"08:49:00","HB",0,146,0,1,"E3","","","","","","",0,-146,"ID245:128 ID248:18 "
"244",244,2009-08-24,"08:49:00","Hobby",0,0,0,1,"E3","","","","","","",0,0,""
"245",245,2009-08-24,"08:50:00","HB",134,134,0,2,"O","","","","","","",134,0,"ID242:-6 ID243:-128 "
"246",246,2009-08-24,"08:56:00","HB",12,12,0,2,"E3","","","","","","",0,0,""
"247",247,2009-08-24,"08:56:00","HB",100,100,0,2,"E3","","","","","","",0,0,""
"248",248,2009-08-24,"08:56:00","HB",155,155,0,2,"W1","ad","","","","","",155,0,"ID243:-18 ID249:-137 "
"249",249,2009-08-24,"08:59:00","HB",6,183,0,1,"E3","","","","","","",0,-177,"ID248:137 ID252:1 ID253:17 ID254:22 "
"250",250,2009-08-24,"09:05:00","BlackKite",3,3,0,1,"E2","","","","","","",0,0,""
"251",251,2009-08-24,"09:05:00","HB",44,44,0,1,"E2","","","","","","",0,0,""
"252",252,2009-08-24,"09:05:00","HB",1,1,0,2,"O","ad","f","","","","",1,0,"ID249:-1 "
"253",253,2009-08-24,"09:05:00","HB",17,17,0,2,"O","","","","","","",17,0,"ID249:-17 "
"254",254,2009-08-24,"09:11:00","HB",22,22,0,2,"W2","","","","","","",22,0,"ID249:-22 "
"255",255,2009-08-24,"09:13:00","HB",28,31,0,1,"E3","","","","","","",0,-3,"ID256:1 ID258:2 "
"256",256,2009-08-24,"09:18:00","HB",1,1,0,2,"E1","ad","m","","","","",1,0,"ID255:-1 "
