"date","timestamp","telpost","speciesname","count","countback","local","location","age","sex","plumage","counttype","migtype","remark","yday","year"
"2016-09-28","17:35:00","2","END",1,"0","0","W2","","","","","","",272,2016
"2016-09-29","07:13:00","1","START",1,"0","0","E1","","","","","","",273,2016
"2016-09-29","18:00:00","1","END",1,"0","0","E1","","","","","","",273,2016
"2016-09-29","07:49:00","2","START",1,"0","0","E2","","","","","","",273,2016
"2016-09-29","17:16:00","2","END",1,"0","0","E2","","","","","","",273,2016
"2016-09-30","07:07:00","1","START",1,"0","0","W1","","","","","","",274,2016
"2016-09-30","18:19:00","1","END",1,"0","0","W1","","","","","","",274,2016
"2016-09-30","07:38:00","2","START",1,"0","0","E2","","","","","","",274,2016
"2016-09-30","12:40:00","2","BREAK",1,"0","0","O","","","","","","",274,2016
"2016-09-30","14:30:00","2","RESUME",1,"0","0","O","","","","","","",274,2016
"2016-09-30","18:44:00","2","END",1,"0","0","E2","","","","","","",274,2016
"2016-10-01","07:08:00","1","START",1,"0","0","O","","","","","","",275,2016
"2016-10-01","18:00:00","1","END",1,"0","0","O","","","","","","",275,2016
"2016-10-01","07:05:00","2","START",1,"0","0","E3","","","","","","",275,2016
"2016-10-01","17:27:00","2","END",1,"0","0","E3","","","","","","",275,2016
"2016-10-02","07:20:00","1","START",1,"0","0","E2","","","","","","",276,2016
"2016-10-02","18:33:00","1","END",1,"0","0","E2","","","","","","",276,2016
"2016-10-02","08:08:00","2","START",1,"0","0","E1","","","","","","",276,2016
"2016-10-02","18:28:00","2","END",1,"0","0","E1","","","","","","",276,2016
"2016-10-03","07:16:00","1","START",1,"0","0","O","","","","","","",277,2016
"2016-10-03","18:00:00","1","END",1,"0","0","O","","","","","","",277,2016
"2016-10-03","07:13:00","2","START",1,"0","0","W2","","","","","","",277,2016
"2016-10-03","18:21:00","2","END",1,"0","0","W2","","","","","","",277,2016
"2016-10-04","07:15:00","1","START",1,"0","0","E3","","","","","","",278,2016
"2016-10-04","18:53:00","1","END",1,"0","0","E3","","","","","","",278,2016
"2016-10-04","07:11:00","2","START",1,"0","0","E2","","","","","","",278,2016
"2016-10-04","17:32:00","2","END",1,"0","0","E2","","","","","","",278,2016
"2016-10-05","07:14:00","1","START",1,"0","0","E2","","","","","","",279,2016
"2016-10-05","18:02:00","1","END",1,"0","0","E2","","","","","","",279,2016
"2016-10-05","07:53:00","2","START",1,"0","0","E1","","","","","","",279,2016
"2016-10-05","17:00:00","2","END",1,"0","0","E1","","","","","","",279,2016
"2016-10-06","07:20:00","1","START",1,"0","0","W3","","","","","","",280,2016
"2016-10-06","18:40:00","1","END",1,"0","0","W3","","","","","","",280,2016
"2016-10-06","07:52:00","2","START",1,"0","0","W1","","","","","","",280,2016
"2016-10-06","17:13:00","2","END",1,"0","0","W1","","","","","","",280,2016
"2016-10-07","08:01:00","2","START",1,"0","0","O","","","","","","",281,2016
"2016-10-07","17:00:00","2","END",1,"0","0","O","","","","","","",281,2016
"2016-10-08","07:18:00","1","START",1,"0","0","E2","","","","","","",282,2016
"2016-10-08","17:05:00","1","END",1,"0","0","E2","","","","","","",282,2016
"2016-10-08","08:01:00","2","START",1,"0","0","W1","","","","","","",282,2016
"2016-10-08","18:14:00","2","END",1,"0","0","W1","","","","","","",282,2016
"2016-10-09","07:23:00","1","START",1,"0","0","E2","","","","","","",283,2016
"2016-10-09","17:45:00","1","END",1,"0","0","E2","","","","","","",283,2016
"2016-10-09","07:25:00","2","START",1,"0","0","W2","","","","","","",283,2016
"2016-10-09","17:02:00","2","END",1,"0","0","W2","","","","","","",283,2016
"2016-10-10","07:35:00","1","START",1,"0","0","O","","","","","","",284,2016
"2016-10-10","18:21:00","1","END",1,"0","0","O","","","","","","",284,2016
"2016-10-10","08:05:00","2","START",1,"0","0","O","","","","","","no visibility  station gloupsed",284,2016
"2016-10-10","11:04:00","2","END",1,"0","0","O","","","","","","count stopped  constant rain and terrible visibility",284,2016
"2016-10-11","07:23:00","1","START",1,"0","0","W3","","","","","","",285,2016
"2016-10-11","19:03:18","1","END",1,"0","0","W3","","","","","","",285,2016
"2016-10-11","07:57:00","2","START",1,"0","0","E1","","","","","","",285,2016
"2016-10-11","18:57:00","2","END",1,"0","0","E1","","","","","","",285,2016
"2016-10-12","07:32:00","1","START",1,"0","0","E2","","","","","","",286,2016
"2016-10-12","16:51:00","1","END",1,"0","0","E2","","","","","","",286,2016
