"date","timestamp","telpost","speciesname","speciesid","count","countback","local","location","age","sex","plumage","counttype","migtype","remark","yday","year"
"2012-08-21","10:14:00","1","Mon",98,1,"","","W1","juv","","","","","",234,2012
"2012-08-21","10:41:00","1","StepBuz",102,1,"","","O","juv","","","","","",234,2012
"2012-08-21","10:42:00","1","Roller",255,16,"","","O","","","","","","",234,2012
"2012-08-21","11:37:00","1","Roller",255,16,"","","W2","","","","","","",234,2012
"2012-08-21","12:32:00","1","HB",86,39,"","","E3","","","","","","",234,2012
"2012-08-21","13:43:00","1","ShortTE",94,1,"","","O","nonjuv","","","","","",234,2012
"2012-08-21","13:59:00","1","BootedE",592,1,"","","E2","","","d","","","",234,2012
"2012-08-21","14:24:00","1","WhiStork",32,27,"","","E3","","","","","","",234,2012
"2012-08-21","15:08:00","1","BootedE",592,1,"","","E1","nonjuv","","d","","","",234,2012
"2012-08-21","15:09:00","1","StepBuz",102,1,"","","E1","ad","","","","","",234,2012
"2012-08-21","15:39:00","1","StepBuz",102,1,"","","E2","","","","","","",234,2012
"2012-08-21","15:40:00","1","Mon",98,1,"","","E2","ad","m","","","","",234,2012
"2012-08-21","15:41:00","1","WhiStork",32,1,"","","E3","","","","","","",234,2012
"2012-08-21","15:47:00","1","Mar",95,1,"","","E2","juv","","","","","",234,2012
"2012-08-21","16:36:00","1","BootedE",592,1,"","","E2","","","l","","","",234,2012
"2012-08-21","18:23:00","1","Mon",98,1,"","","E3","ad","m","","","","",234,2012
"2012-08-21","18:35:00","1","HB",86,3,"","","E3","","","","","","",234,2012
"2012-08-21","08:03:00","2","WhiStork",32,1,"","","W2","","","","","","",234,2012
"2012-08-21","08:12:00","2","HB",86,1,"","","E2","ad","","","","","",234,2012
"2012-08-21","08:15:00","2","HB",86,3,"","","W3","","","","","","",234,2012
"2012-08-21","08:30:00","2","Mar",95,1,"","","W2","imm","m","","","","",234,2012
"2012-08-21","08:55:00","2","Mar",95,1,"","","W2","imm","f","","","","",234,2012
"2012-08-21","08:59:00","2","HB",86,2,"","","O","","","","","","",234,2012
"2012-08-21","08:59:00","2","HB_AD",-90,2,"","","O","","","","","","",234,2012
"2012-08-21","09:02:00","2","HB",86,1,"","","O","","","","","","",234,2012
"2012-08-21","09:02:00","2","HB_AD",-90,1,"","","O","","","","","","",234,2012
"2012-08-21","09:19:00","2","Mar",95,1,"","","W2","imm","m","","","","",234,2012
"2012-08-21","09:23:00","2","HB",86,1,"","","E2","","","","","","",234,2012
"2012-08-21","09:26:00","2","HB",86,1,"","","E1","","","","","","",234,2012
"2012-08-21","09:26:00","2","HB_AD",-90,1,"","","E1","","","","","","",234,2012
"2012-08-21","09:43:00","2","Mar",95,2,"","","E2","nonjuv","","","","","",234,2012
"2012-08-21","09:45:00","2","HB",86,1,"","","E2","ad","","","","","",234,2012
"2012-08-21","09:49:00","2","Mar",95,1,"","","E2","nonjuv","f","","","","",234,2012
"2012-08-21","09:57:00","2","HB",86,1,"","","E2","","","","","","",234,2012
